ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0045333,cellular respiration,35/857,158/23843,3.13281715603984e-18,1.30182792911437e-15,1.0447720372056301e-15,Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Ndufb6/Vcp/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Chchd4/Bax/Ndufc2/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Mybbp1a/Prelid1/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ndufv2/Ndufb8,35
GO:0009123,nucleoside monophosphate metabolic process,44/857,261/23843,1.01244153685268e-17,3.8565585541280002e-15,3.0950515402908702e-15,Cox5b/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Pkm/Uqcrc1/Aldoc/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,44
GO:0015980,energy derivation by oxidation of organic compounds,39/857,247/23843,7.0281764995085101e-15,2.4712149830194902e-12,1.9832546640313499e-12,Cox5b/Idh1/Ndufs2/Fh1/Mtch2/Ndufs3/Idh3g/Ndufb6/Vcp/Uqcrh/Stk40/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Chchd4/Bax/Ldha/Ndufc2/S100b/Ndufa12/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Mybbp1a/Prelid1/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ppp1r1a/Ndufv2/Ndufb8,39
GO:0019693,ribose phosphate metabolic process,53/857,452/23843,3.9397153744945198e-14,1.28631706977246e-11,1.0323239157980001e-11,Cox5b/Rpe/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Taldo1/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Tkt/Hspa8/Atp5l/Sdhd/Acat1/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,53
GO:0046496,nicotinamide nucleotide metabolic process,28/857,135/23843,4.35848591293059e-14,1.32817594053371e-11,1.06591743203952e-11,Rpe/Mtch2/Idh3g/Pgk1/Vcp/Nadk/Mdh2/Hk2/Tpi1/Gapdh/Ldhb/Gpi1/Ldha/Taldo1/Mif/Tkt/Idh3a/Pkm/Cyb5r4/Nmnat3/Mdh1/Aldoc/Dcxr/Nnt/Dld/Gpd1/Mpc1/Pgam1,28
GO:0019362,pyridine nucleotide metabolic process,28/857,137/23843,6.4427544465530205e-14,1.84061441094962e-11,1.4771710030419302e-11,Rpe/Mtch2/Idh3g/Pgk1/Vcp/Nadk/Mdh2/Hk2/Tpi1/Gapdh/Ldhb/Gpi1/Ldha/Taldo1/Mif/Tkt/Idh3a/Pkm/Cyb5r4/Nmnat3/Mdh1/Aldoc/Dcxr/Nnt/Dld/Gpd1/Mpc1/Pgam1,28
GO:0072524,pyridine-containing compound metabolic process,28/857,142/23843,1.65769380770328e-13,4.4572461147127597e-11,3.5771287429386602e-11,Rpe/Mtch2/Idh3g/Pgk1/Vcp/Nadk/Mdh2/Hk2/Tpi1/Gapdh/Ldhb/Gpi1/Ldha/Taldo1/Mif/Tkt/Idh3a/Pkm/Cyb5r4/Nmnat3/Mdh1/Aldoc/Dcxr/Nnt/Dld/Gpd1/Mpc1/Pgam1,28
GO:0006733,oxidoreduction coenzyme metabolic process,29/857,153/23843,1.7758995387179301e-13,4.5097982174887e-11,3.6193040306619798e-11,Rpe/Mtch2/Idh3g/Pgk1/Vcp/Nadk/Mdh2/Hk2/Tpi1/Gapdh/Ndufa9/Ldhb/Gpi1/Ldha/Taldo1/Mif/Tkt/Idh3a/Pkm/Cyb5r4/Nmnat3/Mdh1/Aldoc/Dcxr/Nnt/Dld/Gpd1/Mpc1/Pgam1,29
GO:0022900,electron transport chain,22/857,85/23843,1.9026428438044199e-13,4.5773581258052699e-11,3.6735237178162901e-11,Cox5b/Ndufs2/Mtch2/Ndufb6/Uqcrh/Sdhb/Cox6a1/Cycs/Ndufc2/Ndufa12/Cox4i1/Sdhd/Uqcrc1/Mybbp1a/Uqcrb/Sdha/Ndufaf2/Ndufs4/Dld/Gpd1/Ndufv2/Ndufb8,22
GO:0009150,purine ribonucleotide metabolic process,50/857,430/23843,2.91540370286598e-13,6.6631551629001997e-11,5.34746416025681e-11,Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,50
GO:0022904,respiratory electron transport chain,21/857,80/23843,4.9750979791388902e-13,1.08291299345923e-10,8.6908353169418699e-11,Cox5b/Ndufs2/Mtch2/Ndufb6/Uqcrh/Sdhb/Cox6a1/Cycs/Ndufc2/Ndufa12/Cox4i1/Sdhd/Uqcrc1/Mybbp1a/Uqcrb/Sdha/Ndufaf2/Dld/Gpd1/Ndufv2/Ndufb8,21
GO:0009259,ribonucleotide metabolic process,50/857,440/23843,7.0168691476191503e-13,1.4579140397166899e-10,1.1700377502130499e-10,Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,50
GO:0006163,purine nucleotide metabolic process,50/857,443/23843,9.0799155298916097e-13,1.80453451683194e-10,1.4482153602596001e-10,Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,50
GO:0009142,nucleoside triphosphate biosynthetic process,27/857,142/23843,1.1206289106990299e-12,2.13433114616886e-10,1.7128911200816299e-10,Cox5b/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Suclg1/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,27
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,25/857,128/23843,4.1228784978789896e-12,7.5382710455219399e-10,6.0497817116245401e-10,Cox5b/Atp5c1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,25
GO:0009145,purine nucleoside triphosphate biosynthetic process,25/857,129/23843,4.9425183105460997e-12,8.6893273836562296e-10,6.97355316285553e-10,Cox5b/Atp5c1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,25
GO:0009201,ribonucleoside triphosphate biosynthetic process,25/857,131/23843,7.0640176701808703e-12,1.19591202853321e-09,9.5977004212788806e-10,Cox5b/Atp5c1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,25
GO:0009060,aerobic respiration,19/857,74/23843,9.8337694680257193e-12,1.6053628656552e-09,1.2883716765439699e-09,Cox5b/Idh1/Fh1/Idh3g/Vcp/Uqcrh/Sdhb/Cox6a1/Mdh2/Cycs/Suclg1/Bloc1s1/Cox4i1/Sdhd/Idh3a/Uqcrc1/Mdh1/Uqcrb/Sdha,19
GO:0042775,mitochondrial ATP synthesis coupled electron transport,17/857,58/23843,1.1809274037767299e-11,1.8613859181598e-09,1.49384101711865e-09,Cox5b/Ndufs2/Mtch2/Ndufb6/Uqcrh/Cox6a1/Cycs/Ndufc2/Ndufa12/Cox4i1/Sdhd/Uqcrc1/Uqcrb/Sdha/Dld/Ndufv2/Ndufb8,17
GO:0051186,cofactor metabolic process,49/857,465/23843,1.8871867710235201e-11,2.8754435767828398e-09,2.3076652270235e-09,Idh1/Rpe/Prdx6/Mtch2/Idh3g/Pgk1/Gstm5/Gstm1/Ggh/Vcp/Alad/Prdx1/Atpif1/Nadk/Mdh2/Cycs/Suclg1/Hk2/Tpi1/Gapdh/Ndufa9/Ldhb/Gpi1/Ldha/Glrx3/Taldo1/Mif/Hmox1/Prdx2/Tkt/Acat1/Idh3a/Pkm/Cyb5r4/Nmnat3/Gpx1/Mdh1/Aldoc/Acly/Slc25a39/Dcxr/Fasn/Nnt/Dld/Gpd1/Cbr3/Mpc1/Gstp1/Pgam1,49
GO:0006754,ATP biosynthetic process,23/857,117/23843,2.5872000504721901e-11,3.8148682034543103e-09,3.0615932685553699e-09,Cox5b/Atp5c1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Aldoc/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,23
GO:0072521,purine-containing compound metabolic process,50/857,486/23843,2.79598722779821e-11,3.9938930057080101e-09,3.2052682529199901e-09,Cox5b/Ramp1/Atp1b1/Ndufs2/Atp1a2/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Ndufb6/Vcp/Uqcrh/Atpif1/Atp5k/Cox6a1/Atp5j2/Cycs/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ldha/Ndufc2/Mif/Ndufa12/Nudt4/Atp5b/Cox4i1/Hspa8/Atp5l/Sdhd/Acat1/Pkm/Uqcrc1/Nme6/Aldoc/Nme1/Atp5h/Uqcrb/Sdha/Dld/Gpd1/Atp5o/Ndufv2/Atp5a1/Pgam1/Ndufb8,50
GO:0042773,ATP synthesis coupled electron transport,17/857,62/23843,3.86303126941359e-11,5.35088361590592e-09,4.2943106774820998e-09,Cox5b/Ndufs2/Mtch2/Ndufb6/Uqcrh/Cox6a1/Cycs/Ndufc2/Ndufa12/Cox4i1/Sdhd/Uqcrc1/Uqcrb/Sdha/Dld/Ndufv2/Ndufb8,17
GO:0009127,purine nucleoside monophosphate biosynthetic process,24/857,137/23843,1.21262344227836e-10,1.5836862156155299e-08,1.27097524701957e-08,Cox5b/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Aldoc/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,24
GO:0009168,purine ribonucleoside monophosphate biosynthetic process,24/857,137/23843,1.21262344227836e-10,1.5836862156155299e-08,1.27097524701957e-08,Cox5b/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Aldoc/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,24
GO:0006119,oxidative phosphorylation,19/857,86/23843,1.6698794520884701e-10,2.120283048749e-08,1.7016169270550601e-08,Cox5b/Ndufs2/Mtch2/Ndufb6/Vcp/Uqcrh/Cox6a1/Cycs/Ndufc2/Ndufa12/Cox4i1/Sdhd/Uqcrc1/Uqcrb/Sdha/Dld/Atp5o/Ndufv2/Ndufb8,19
GO:0009156,ribonucleoside monophosphate biosynthetic process,24/857,141/23843,2.2520030421548699e-10,2.7821367312675498e-08,2.2327825325489999e-08,Cox5b/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Aldoc/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,24
GO:0006732,coenzyme metabolic process,36/857,306/23843,4.6443094540533601e-10,5.5866153985468198e-08,4.4834954147855798e-08,Rpe/Mtch2/Idh3g/Pgk1/Ggh/Vcp/Atpif1/Nadk/Mdh2/Suclg1/Hk2/Tpi1/Gapdh/Ndufa9/Ldhb/Gpi1/Ldha/Taldo1/Mif/Tkt/Acat1/Idh3a/Pkm/Cyb5r4/Nmnat3/Mdh1/Aldoc/Acly/Dcxr/Fasn/Nnt/Dld/Gpd1/Cbr3/Mpc1/Pgam1,36
GO:0042176,regulation of protein catabolic process,39/857,352/23843,5.1798556458871503e-10,6.0710564506026006e-08,4.8722798720423003e-08,Pdcl3/Serpine2/Psmd14/Cst3/Csnk2a1/Bcap31/Flna/Sdcbp/Vcp/Alad/Cdkn2a/Nrd1/Atpif1/Cdc42/Atraid/Apoe/Sirt2/Ctsc/Cd81/Oaz1/Os9/Ndufa13/Gabarapl2/Ldlr/Rdx/Anxa2/Gpx1/Ppp2ca/Rpl23/Sox9/Plk2/Trib2/Odc1/Hsp90aa1/Ube2v2/Psmd2/Dlgap1/Usp14/Ndfip1,39
GO:0009124,nucleoside monophosphate biosynthetic process,24/857,147/23843,5.4603808729565105e-10,6.2398502425710496e-08,5.0077440374351102e-08,Cox5b/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Pkm/Aldoc/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,24
GO:0042254,ribosome biogenesis,34/857,289/23843,1.41273791461759e-09,1.57503048968707e-07,1.2640286604473201e-07,Ncl/Rpl12/Rpl35/Rps21/Ddx3x/Rpl10/Rpl34/Rps6/Cdkn2a/Rps8/Lyar/Rplp0/Rpl6/Wbp11/Rps16/Rps17/Ddx21/Rrp1/Rps24/Gnl3/Rps27l/Nhp2/Rpl26/Rpl23a/Rpl27/Rpl38/Nsa2/Rpl35a/Rpl24/Rps2/Wdr43/Gm10036/Rps14/Pdcd11,34
GO:1902600,proton transmembrane transport,18/857,88/23843,1.9064484879525802e-09,2.0748514377217199e-07,1.66515613546735e-07,Cox5b/Atp1a2/Atp5c1/Atp6ap1/Atp5f1/Atp6v0b/Atp5k/Atp6v1f/Atp6v0e2/Atp5b/Slc25a4/Atp6v0d1/Atp5l/Atp5h/Nnt/Atp5o/Atp6v0e/Atp5a1,18
GO:0046390,ribose phosphate biosynthetic process,31/857,266/23843,9.3748194824396702e-09,9.7606040311485608e-07,7.8332980341863999e-07,Cox5b/Ramp1/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ndufc2/Mif/Atp5b/Tkt/Atp5l/Acat1/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,31
GO:0051961,negative regulation of nervous system development,36/857,342/23843,9.39546220456216e-09,9.7606040311485608e-07,7.8332980341863999e-07,Tnr/Dync1i2/Pax6/B2m/Flna/Sox2/Eif4e/Prkacb/Id3/Cav1/Ptprz1/Ptn/Cntn4/Apoe/Sirt2/Inppl1/Cend1/Zfp365/Cpe/Calr/Ldlr/Thy1/Ptpn9/Sox9/Hnrnpk/Plk2/Id2/Sox11/Lgals1/Hes1/App/Olig2/Six3/Syt4/Ctnna1/Dpysl3,36
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,10/857,26/23843,1.07544508229251e-08,1.0924132158131299e-06,8.7670786240687804e-07,Psmb7/Psmb4/Psmb2/Psmb5/Psmb6/Psmb3/Psma2/Psma6/Psma3/Psmb1,10
GO:0006101,citrate metabolic process,11/857,33/23843,1.13817697237088e-08,1.13100150884941e-06,9.0767660153604802e-07,Idh1/Fh1/Idh3g/Sdhb/Mdh2/Suclg1/Sdhd/Idh3a/Mdh1/Acly/Sdha,11
GO:0009152,purine ribonucleotide biosynthetic process,30/857,254/23843,1.19063152312064e-08,1.1579524876988201e-06,9.2930590326437705e-07,Cox5b/Ramp1/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Acat1/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,30
GO:0006164,purine nucleotide biosynthetic process,30/857,261/23843,2.22761499573612e-08,2.12133919698121e-06,1.70246453073254e-06,Cox5b/Ramp1/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Acat1/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,30
GO:0010257,NADH dehydrogenase complex assembly,12/857,43/23843,2.3657875661335501e-08,2.1628029929592899e-06,1.73574098273167e-06,Ndufb11/Ndufa1/Ndufb6/Ndufb2/Ndufa9/Ndufa3/Ndufc2/Ndufa13/Ndufb7/Ndufs4/Ndufa11/Ndufb8,12
GO:0032981,mitochondrial respiratory chain complex I assembly,12/857,43/23843,2.3657875661335501e-08,2.1628029929592899e-06,1.73574098273167e-06,Ndufb11/Ndufa1/Ndufb6/Ndufb2/Ndufa9/Ndufa3/Ndufc2/Ndufa13/Ndufb7/Ndufs4/Ndufa11/Ndufb8,12
GO:0010498,proteasomal protein catabolic process,41/857,437/23843,2.4792957371875901e-08,2.22212957150676e-06,1.7833530741173901e-06,Hspa5/Psmb7/Psmd14/Bcap31/Psmb4/Psmd4/Sdcbp/Vcp/Alad/Psmb2/Fbxo44/Fbxo2/Psmc2/Ube2s/Sirt2/Psmd8/Hsp90b1/Os9/Psmd7/Gabarapl2/Psmd6/Psmc6/Psmb5/Gpx1/Psmb6/Sdf2/Psmb3/Psmc5/Psmd12/Psma2/Plk2/Trib2/Psma6/Psma3/Psmc1/Pcbp2/Ube2v2/Psmd2/Psmb1/Dlgap1/Usp14,41
GO:0009260,ribonucleotide biosynthetic process,30/857,263/23843,2.6522318612541299e-08,2.3314138149601201e-06,1.8710583069778601e-06,Cox5b/Ramp1/Atp5c1/Ak1/Mtch2/Pgk1/Atp5f1/Papss1/Vcp/Atp5k/Atp5j2/Hk2/Tpi1/Gapdh/Apoe/Gpi1/Ndufc2/Mif/Atp5b/Atp5l/Acat1/Pkm/Nme6/Aldoc/Nme1/Atp5h/Gpd1/Atp5o/Atp5a1/Pgam1,30
