"","seqnames","start","end","width","strand","Conc","Conc_Pantr2KO","Conc_WT","Fold","p.value","FDR"
"115","chr5",149052022,149052222,201,"*",5.89754819211267,6.39081048639625,5.14213263051499,0.27600676689928,0.0150120954422905,0.589812955423658
"116","chr4",22835861,22836061,201,"*",6.31470763634486,6.82360110172041,5.52145492022439,0.268548522876724,0.01518048353097,0.589812955423658
"117","chr7",63768705,63768905,201,"*",5.34122208843282,5.87371307775823,4.48807416740508,0.258014277902994,0.0154624323436337,0.589812955423658
"118","chr9",102493095,102493295,201,"*",4.89378813565548,5.4166912172709,4.06539556152899,0.26117342162666,0.0155081164741043,0.589812955423658
"119","chr18",44744605,44744805,201,"*",4.53451288131743,5.08954589220814,3.62074704087386,0.247770910772843,0.015577972565893,0.589812955423658
"120","chr19",20006049,20006249,201,"*",4.71371208096955,5.25774036775912,3.82997577585419,0.252207041936043,0.0156009634031206,0.589812955423658
"121","chr5",139797876,139798076,201,"*",5.66983433682663,6.16740114154962,4.90413842910713,0.271292231282048,0.0156222675997172,0.589812955423658
"122","chr14",101229258,101229458,201,"*",5.12880905009196,5.65407018611278,4.29438258870667,0.260191489437925,0.0156915243234587,0.589812955423658
"123","chr4",124562761,124562961,201,"*",4.6431290467064,5.20061143525479,3.72256177521906,0.246371212607199,0.0156931067898346,0.589812955423658
"124","chr10",38965401,38965601,201,"*",4.39297268810756,4.96430840835659,3.43309738163553,0.240322262041905,0.0156939906437761,0.589812955423658
"125","chr2",27573106,27573306,201,"*",6.09282085075019,6.58138394290669,5.34851068150007,0.273931361439212,0.015990569994065,0.589812955423658
"126","chr8",118147551,118147751,201,"*",5.97012117103546,6.45240949672638,5.24045230369313,0.276103895855658,0.0160541933796981,0.589812955423658
"127","chr12",38450464,38450664,201,"*",4.79733086982908,5.33631394969389,3.92708072581436,0.252923721944637,0.0160602110867144,0.589812955423658
"128","chr7",16816182,16816382,201,"*",5.89941782790029,6.38416232867377,5.16404307480412,0.274964125732001,0.0161139748718418,0.589812955423658
"129","chr9",80352018,80352218,201,"*",5.40089527083907,5.94580075864783,4.51479638481394,0.249867318332051,0.0161280510945643,0.589812955423658
"130","chr5",133718643,133718843,201,"*",6.57695896012639,7.07856544847382,5.80151986248091,0.267413067102034,0.0161885863701554,0.589812955423658
"131","chr14",71249618,71249818,201,"*",3.84278817497944,4.47933006340332,2.67596698865348,0.211386872369006,0.0162986464230531,0.589812955423658
"132","chr3",132852499,132852699,201,"*",4.63086566328911,5.17791183850099,3.73897886932111,0.247025584619987,0.0163537294204996,0.589812955423658
"133","chr18",49480126,49480326,201,"*",5.86814067467807,6.35784809474269,5.12113735961364,0.271755964878194,0.0163953197022243,0.589812955423658
"134","chr6",71757154,71757354,201,"*",6.78899934856774,7.31264002952341,5.95872314463879,0.256258259610819,0.0166450559470711,0.589812955423658
"135","chr17",88064763,88064963,201,"*",5.61763473354807,6.10236026299981,4.88230417620875,0.272332300318518,0.0167473747452062,0.589812955423658
"136","chr1",11414145,11414345,201,"*",5.67070866200343,6.20079219550316,4.82383222903046,0.253209586535516,0.0167641700403887,0.589812955423658
"137","chr1",165281833,165282033,201,"*",5.53200296526205,6.02229845935267,4.78361284244506,0.269647470215435,0.0167798780714857,0.589812955423658
"138","chr3",105801191,105801391,201,"*",6.1756699050371,6.66521211235572,5.42905585655164,0.269963330385867,0.0168549055120008,0.589812955423658
"139","chr4",119422684,119422884,201,"*",5.77125575772366,6.27482138222176,4.9910577812793,0.264038900794223,0.0168577544305005,0.589812955423658
"140","chr3",15154269,15154469,201,"*",5.22393586398178,5.74806815568117,4.3924023158269,0.255699980803142,0.0168650691868675,0.589812955423658
"141","chr17",21909578,21909778,201,"*",5.67455188379867,6.15232208163593,4.95529529959069,0.274361443979038,0.0169304251015481,0.589812955423658
"142","chr14",61648768,61648968,201,"*",6.42746994892334,6.91551750230837,5.68437074940745,0.2700801298393,0.0169590160097863,0.589812955423658
"143","chr12",17069705,17069905,201,"*",6.29085401106973,6.76786831684824,5.57332894217426,0.274037609919109,0.0170909764566715,0.589812955423658
"144","chr6",141485412,141485612,201,"*",6.0432534853251,6.53516343162278,5.29104634517101,0.26773569688935,0.0172070755050202,0.589812955423658
"145","chr9",90240634,90240834,201,"*",4.34720850739555,4.9282028508518,3.35904790958131,0.231121992447334,0.0172314858655036,0.589812955423658
"146","chr3",58785928,58786128,201,"*",5.08208526582231,5.61454895179406,4.22900868264561,0.248839193355998,0.0174884757188186,0.589812955423658
"147","chr17",64770403,64770603,201,"*",5.49686501075848,6.00540768642664,4.70447696177168,0.260107343887986,0.0175003915714309,0.589812955423658
"148","chr11",93487992,93488192,201,"*",4.80014963704055,5.31863457218698,3.98296865276841,0.255151210500352,0.0175341771281523,0.589812955423658
"149","chr6",118562202,118562402,201,"*",5.7705544148453,6.2415561499856,5.06669684082406,0.274662126118578,0.0175680409585508,0.589812955423658
"150","chr6",128843097,128843297,201,"*",6.44165334969672,6.9236254534932,5.71271674956466,0.270078288811175,0.0176503163234881,0.589812955423658
"151","chr2",167631999,167632199,201,"*",6.80924906319309,7.27962359872544,6.1068065212019,0.274552379540691,0.0176504348038535,0.589812955423658
"152","chrX",8864400,8864600,201,"*",4.65779726584492,5.24126917374617,3.66225982603686,0.22791969798985,0.0176561631138412,0.589812955423658
"153","chr9",75085343,75085543,201,"*",6.29547401933616,6.78985746578888,5.53739083587966,0.264666763437707,0.0177374438011845,0.589812955423658
"154","chr15",68928284,68928484,201,"*",6.16261797731094,6.67695307749448,5.35585806504668,0.256063686501662,0.0178265611167891,0.589812955423658
"155","chr1",87929919,87930119,201,"*",6.44620728266377,6.92373496625879,5.72750654901592,0.270573202026275,0.0179610227632359,0.589812955423658
"156","chr1",22266573,22266773,201,"*",5.19979848114382,5.69694375451718,4.43511390641112,0.261980340257715,0.0181395612113396,0.589812955423658
"157","chr17",90696539,90696739,201,"*",4.91350598816713,5.46679955583828,4.0045438684389,0.239262481583946,0.0181968700955201,0.589812955423658
"158","chr12",99686754,99686954,201,"*",4.29211853955839,4.87632556698204,3.29438258870667,0.226641339928583,0.0182097502168495,0.589812955423658
"159","chr15",98977856,98978056,201,"*",7.46339689266519,6.69008492134916,7.96412472941432,-0.260083728036288,0.0182120564877864,0.589812955423658
"160","chr18",37089874,37090074,201,"*",5.84750405131348,6.32619303725713,5.12613878078513,0.268085993790359,0.0184699172782652,0.589812955423658
"161","chr4",97924371,97924571,201,"*",3.89113692832121,4.5092740339823,2.78677472289619,0.211187384516876,0.0185185007429348,0.589812955423658
"162","chr9",13651180,13651380,201,"*",4.93597757369577,5.44060138873682,4.15319993570264,0.257217635710701,0.0185544939321988,0.589812955423658
"163","chr9",31989977,31990177,201,"*",5.39745125673477,5.90249737562267,4.61364230625811,0.257732937909553,0.0185572449831279,0.589812955423658
"164","chr2",13572254,13572454,201,"*",6.08420857385428,6.54978657253609,5.39252174603096,0.272631522516821,0.0186410999619151,0.589812955423658
"165","chr12",38303921,38304121,201,"*",4.51680476736011,5.0614753901538,3.63133896765303,0.239645489223643,0.0186781675237165,0.589812955423658
"166","chr2",52072684,52072884,201,"*",6.19386442737576,6.68434421230848,5.4450393153431,0.262647339306121,0.0186993044952168,0.589812955423658
"167","chr12",82415819,82416019,201,"*",5.98306471398773,6.45471005868788,5.27775300034851,0.269383697473785,0.0189922401455197,0.589812955423658
"168","chr8",13757531,13757731,201,"*",5.59631302236636,6.06854438470423,4.88967544826589,0.268725813299203,0.0190037487660223,0.589812955423658
"169","chr3",35480824,35481024,201,"*",4.4911167720424,5.04723263358749,3.57434944948025,0.233118795578256,0.0191303165853482,0.589812955423658
"170","chr10",88451306,88451506,201,"*",5.9507382570176,6.44211583986773,5.19979136180881,0.260377357061291,0.0192205286077812,0.589812955423658
"171","chr16",15984354,15984554,201,"*",5.07638641850766,5.57978195686018,4.29660247259766,0.255802147939614,0.0192701710015511,0.589812955423658
"172","chr3",108415945,108416145,201,"*",5.57804771373071,6.06625803950456,4.83456632813736,0.26130769238019,0.0192705645516738,0.589812955423658
"173","chr3",67918740,67918940,201,"*",4.56998940666216,5.11405134452557,3.6861625663212,0.23759380013346,0.0193335478231469,0.589812955423658
"174","chr1",155049077,155049277,201,"*",5.37575135322108,5.8554373557399,4.65209284061301,0.264763802057964,0.0193424405584969,0.589812955423658
"175","chr4",54048516,54048716,201,"*",4.58696236935442,5.13975721665282,3.67937352665282,0.235601417308633,0.0193485242851336,0.589812955423658
"176","chr5",4538663,4538863,201,"*",5.11205495668138,5.61669090338818,4.32924770631783,0.254530036753455,0.0194759092675923,0.589812955423658
"177","chr14",70074797,70074997,201,"*",7.25879735692559,7.75262666703177,6.50203353755728,0.257924797996315,0.019677642367185,0.589812955423658
"178","chr4",34213821,34214021,201,"*",5.03389131681943,5.55305596603447,4.21499336344435,0.2478393288956,0.0197227424021231,0.589812955423658
"179","chr11",29428844,29429044,201,"*",4.94924109668453,5.46223324445746,4.14583117363625,0.250168943250343,0.0198300088404128,0.589812955423658
"180","chr8",55026130,55026330,201,"*",4.46200796876691,5.01425149541327,3.55593517203409,0.233656162898388,0.0199036347184058,0.589812955423658
"181","chrX",99632430,99632630,201,"*",4.35493173728703,4.93709732327374,3.36329009409169,0.222058176092425,0.0199588174009561,0.589812955423658
"182","chr15",38198893,38199093,201,"*",3.95073642351862,4.55734408724437,2.88378144670766,0.211146423784239,0.0199617296755815,0.589812955423658
"183","chr7",114415077,114415277,201,"*",6.07295109450227,6.56310116948101,5.32490407860939,0.258143359138164,0.0201627728917281,0.589812955423658
"184","chr2",35661193,35661393,201,"*",5.8557342900312,6.31967794911942,5.16768594225339,0.268336246463055,0.0201711588213239,0.589812955423658
"185","chr6",82119324,82119524,201,"*",5.04574142336563,5.55305596603447,4.25637489017518,0.251029660033345,0.0201983471729255,0.589812955423658
"186","chr9",15306125,15306325,201,"*",6.24678947568686,6.73290433257391,5.50821720165424,0.259260354519079,0.0202288959296204,0.589812955423658
"187","chr8",18740312,18740512,201,"*",4.80713113567418,5.32837288660525,3.98296865276841,0.245264034904599,0.0202633130019516,0.589812955423658
"188","chr12",46521048,46521248,201,"*",5.05158510794792,5.59482410578888,4.16997008222527,0.235965624293383,0.0203026408228651,0.589812955423658
"189","chr1",16122883,16123083,201,"*",5.22116373194924,5.74013937549495,4.40274349641108,0.244972438486984,0.0203199673125607,0.589812955423658
"190","chr6",92481061,92481261,201,"*",5.37766672538467,5.87453661488863,4.61364230625811,0.254644331903062,0.020344090289013,0.589812955423658
"191","chr11",34181613,34181813,201,"*",6.61037900674389,7.10589684982132,5.84958954173596,0.255066944750934,0.0203484785258833,0.589812955423658
"192","chr10",93431007,93431207,201,"*",5.73299760234519,6.21996632244979,4.9924278364874,0.257927477671706,0.0205479705660898,0.589812955423658
"193","chr14",80846822,80847022,201,"*",5.12955037981334,5.63779520956815,4.33789592447926,0.248367820515657,0.0206092142636252,0.589812955423658
"194","chr1",55193441,55193641,201,"*",5.7931238791064,6.30777882163094,4.98556451253327,0.246476260699454,0.0206157945330981,0.589812955423658
"195","chr14",78900918,78901118,201,"*",4.97183587991129,5.47933006340332,4.18202794053946,0.249636897306793,0.02063357693066,0.589812955423658
"196","chr3",80005066,80005266,201,"*",6.26631170962532,6.76230702449447,5.50438100317491,0.253864810212342,0.0207314301948025,0.589812955423658
"197","chr17",63931635,63931835,201,"*",5.38514864607174,5.92488786993296,4.5128882878971,0.236187865316852,0.0208138965747067,0.589812955423658
"198","chr9",15493652,15493852,201,"*",4.82426254834757,5.33837456094664,4.01805988235669,0.245947689713232,0.0209178645128524,0.589812955423658
"199","chr2",105676463,105676663,201,"*",5.21149064720125,5.69854886249435,4.47071129131884,0.255357647041459,0.0212455309027394,0.589812955423658
"200","chr1",164988290,164988490,201,"*",4.19748462479277,4.77576790673826,3.21733872556379,0.219158619073835,0.0212897747254597,0.589812955423658
"201","chr5",76782754,76782954,201,"*",5.56950288326376,6.06834627027877,4.80073807526081,0.251063909770125,0.0213590546731437,0.589812955423658
