"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","group"
"GO:0048486","GO:0048486","parasympathetic nervous system development","4/226","10/12463",2.02964805688597e-05,0.00120886826866543,0.000974602150936022,"18186/20346/78286/243743",4,1
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","9/226","84/12463",2.04477041384545e-05,0.00120886826866543,0.000974602150936022,"18186/18213/210933/19266/18750/192167/331461/13048/19271",9,1
"GO:0070527","GO:0070527","platelet aggregation","6/226","33/12463",2.44619382608422e-05,0.00141783312743234,0.00114307178993904,"12527/14268/18750/19091/268860/208936",6,1
"GO:1902287","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance","4/226","11/12463",3.14412975048413e-05,0.0017873168350829,0.00144095339171985,"18186/20346/54712/243743",4,1
"GO:0050921","GO:0050921","positive regulation of chemotaxis","9/226","92/12463",4.25675655421542e-05,0.0023741457309926,0.00191406094116062,"21844/12317/18186/18213/227541/14268/18750/19242/19271",9,1
"GO:0001764","GO:0001764","neuron migration","12/226","164/12463",4.37389981731483e-05,0.00239430515925605,0.00193031368155961,"17260/20358/18186/20346/234267/18213/212712/19091/211323/12386/19283/67263",12,1
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","7/226","53/12463",4.45558519283652e-05,0.00239467451454996,0.0019306114596329,"12527/14268/18750/19091/268860/208936/17967",7,1
"GO:0071679","GO:0071679","commissural neuron axon guidance","4/226","12/12463",4.649221525297e-05,0.00241106996996104,0.00194382964603369,"19206/18186/18028/17967",4,1
"GO:1902285","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance","4/226","12/12463",4.649221525297e-05,0.00241106996996104,0.00194382964603369,"18186/20346/54712/243743",4,1
"GO:0099175","GO:0099175","regulation of postsynapse organization","10/226","116/12463",4.80165564688615e-05,0.00242135640105331,0.0019521226735933,"21844/319504/13841/18213/19266/192167/545156/331461/13048/19242",10,1
"GO:0050919","GO:0050919","negative chemotaxis","6/226","37/12463",4.83288320913888e-05,0.00242135640105331,0.0019521226735933,"20358/20346/214968/211323/243743/268902",6,1
"GO:2000146","GO:2000146","negative regulation of cell motility","14/226","221/12463",5.04584595892875e-05,0.00244771783604169,0.00197337553621479,"12317/17260/66214/16449/20346/214968/19091/211323/56363/19242/228564/19271/12043/19272",14,1
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","9/226","94/12463",5.05110920157452e-05,0.00244771783604169,0.00197337553621479,"17260/14802/72978/140919/320127/192167/14800/545156/12564",9,1
"GO:0030168","GO:0030168","platelet activation","7/226","55/12463",5.68824873047892e-05,0.00266896242020567,0.00215174521734407,"12527/14268/18750/19091/268860/208936/19271",7,1
"GO:0051965","GO:0051965","positive regulation of synapse assembly","7/226","55/12463",5.68824873047892e-05,0.00266896242020567,0.00215174521734407,"18213/210933/19266/18750/192167/331461/13048",7,1
"GO:0034110","GO:0034110","regulation of homotypic cell-cell adhesion","5/226","24/12463",6.01697958120587e-05,0.00276681828627245,0.00223063763269028,"12527/18750/19091/268860/208936",5,1
"GO:0050768","GO:0050768","negative regulation of neurogenesis","16/226","284/12463",6.0840050273244e-05,0.00276681828627245,0.00223063763269028,"12317/20358/18186/16449/13841/20346/70433/233781/18213/214968/18514/211323/192167/235106/19283/19242",16,1
"GO:0001558","GO:0001558","regulation of cell growth","18/226","348/12463",6.4326971823767e-05,0.00287785280367387,0.00232015481358794,"20358/18186/16842/13841/20346/70433/18213/116838/75426/214968/14268/211323/13823/23945/238161/19271/12043/243743",18,1
"GO:0010544","GO:0010544","negative regulation of platelet activation","4/226","13/12463",6.6202297242836e-05,0.00287785280367387,0.00232015481358794,"12527/19091/268860/208936",4,1
"GO:0034111","GO:0034111","negative regulation of homotypic cell-cell adhesion","4/226","13/12463",6.6202297242836e-05,0.00287785280367387,0.00232015481358794,"12527/19091/268860/208936",4,1
"GO:0010721","GO:0010721","negative regulation of cell development","17/226","318/12463",6.87760757361863e-05,0.00294640695472705,0.0023754238820248,"12317/20358/18186/16449/13841/20346/70433/233781/18213/214968/18514/211323/192167/235106/19283/19242/12043",17,1
"GO:0016049","GO:0016049","cell growth","20/226","417/12463",7.22079028719385e-05,0.00304255599372374,0.00245294023566361,"21844/20358/18186/16842/13841/20346/70433/18213/116838/75426/214968/14268/19091/211323/13823/23945/238161/19271/12043/243743",20,1
"GO:0048675","GO:0048675","axon extension","10/226","122/12463",7.38095585127602e-05,0.00304255599372374,0.00245294023566361,"20358/18186/20346/70433/18213/214968/14268/211323/23945/243743",10,1
"GO:0008045","GO:0008045","motor neuron axon guidance","5/226","25/12463",7.41082650704022e-05,0.00304255599372374,0.00245294023566361,"11658/18186/20346/108699/243743",5,1
"GO:0045844","GO:0045844","positive regulation of striated muscle tissue development","7/226","58/12463",8.04875743634769e-05,0.00321515229484375,0.00259208916584512,"17260/11865/22762/211323/238161/12043/17967",7,1
"GO:0048636","GO:0048636","positive regulation of muscle organ development","7/226","58/12463",8.04875743634769e-05,0.00321515229484375,0.00259208916584512,"17260/11865/22762/211323/238161/12043/17967",7,1
"GO:1990138","GO:1990138","neuron projection extension","12/226","175/12463",8.21881922084823e-05,0.00323931061557698,0.00261156585487725,"21844/20358/18186/20346/70433/18213/116838/214968/14268/211323/23945/243743",12,1
"GO:0048863","GO:0048863","stem cell differentiation","11/226","149/12463",8.41086020659546e-05,0.00325403994226381,0.00262344079099967,"17260/20358/18186/16449/20346/234267/20678/214968/70122/76626/19242",11,1
"GO:0021953","GO:0021953","central nervous system neuron differentiation","12/226","176/12463",8.68122458067525e-05,0.00325403994226381,0.00262344079099967,"19206/18186/20346/70433/19883/20678/212712/18028/18750/67263/243743/268902",12,1
"GO:1902667","GO:1902667","regulation of axon guidance","6/226","41/12463",8.79874693945445e-05,0.00325403994226381,0.00262344079099967,"20358/18186/20346/214968/67263/243743",6,1
"GO:0072073","GO:0072073","kidney epithelium development","9/226","101/12463",8.88763137991055e-05,0.00325403994226381,0.00262344079099967,"17260/19206/16449/13841/70350/18514/12043/268902/269152",9,1
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","14/226","233/12463",8.929008070653e-05,0.00325403994226381,0.00262344079099967,"21844/20358/18186/13841/20346/70433/18213/116838/214968/14268/211323/23945/243743/269152",14,1
"GO:1901863","GO:1901863","positive regulation of muscle tissue development","7/226","59/12463",8.99316018036274e-05,0.00325403994226381,0.00262344079099967,"17260/11865/22762/211323/238161/12043/17967",7,1
"GO:0021545","GO:0021545","cranial nerve development","5/226","26/12463",9.04068468866086e-05,0.00325403994226381,0.00262344079099967,"20512/18186/20346/78286/243743",5,1
"GO:0042753","GO:0042753","positive regulation of circadian rhythm","4/226","14/12463",9.1368509880885e-05,0.00325403994226381,0.00262344079099967,"19883/11865/19091/192167",4,1
"GO:0099054","GO:0099054","presynapse assembly","6/226","43/12463",0.000115747727529773,0.00406750272348447,0.00327926293211624,"223254/18213/19266/192167/23888/331461",6,1
"GO:0007169","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","20/226","432/12463",0.000116961343537273,0.00406750272348447,0.00327926293211624,"21844/20358/71371/18186/76829/13841/14388/18213/16008/18750/330119/21413/13840/108699/211323/11682/20238/77531/19271/98496",20,1
"GO:0048814","GO:0048814","regulation of dendrite morphogenesis","9/226","105/12463",0.000120134463524112,0.0041292729555497,0.00332906273462165,"21844/13047/210933/19266/192167/545156/331461/13048/19283",9,1
"GO:0048532","GO:0048532","anatomical structure arrangement","4/226","15/12463",0.00012282705672989,0.00417329631831673,0.00336455482681756,"18186/14828/20346/243743",4,1
"GO:0019722","GO:0019722","calcium-mediated signaling","10/226","130/12463",0.000125787209773433,0.00422530672829851,0.00340648615941451,"16438/109676/23964/12778/211323/20541/238161/244579/19271/17967",10,1
"GO:0030336","GO:0030336","negative regulation of cell migration","13/226","212/12463",0.000130113506651486,0.00432152276024486,0.00348405652346498,"12317/17260/66214/16449/20346/214968/19091/211323/56363/19242/19271/12043/19272",13,1
"GO:0030193","GO:0030193","regulation of blood coagulation","6/226","44/12463",0.00013201506803603,0.00433596156793893,0.00349569724015873,"12527/18750/19091/268860/208936/19271",6,1
"GO:0051961","GO:0051961","negative regulation of nervous system development","16/226","306/12463",0.000145652855069502,0.00471737260938695,0.003803194782299,"12317/20358/18186/16449/13841/20346/70433/233781/18213/214968/18514/211323/192167/235106/19283/19242",16,1
"GO:0007162","GO:0007162","negative regulation of cell adhesion","12/226","186/12463",0.000146819445217727,0.00471737260938695,0.003803194782299,"20358/66214/16449/16842/12527/269023/19091/268860/19283/208936/54712/243743",12,1
"GO:1900046","GO:1900046","regulation of hemostasis","6/226","45/12463",0.000150042847267555,0.0047691038335795,0.00384490103241364,"12527/18750/19091/268860/208936/19271",6,1
"GO:0031290","GO:0031290","retinal ganglion cell axon guidance","4/226","16/12463",0.000161448943155013,0.00507705399964061,0.00409317365400839,"319504/18186/13841/268902",4,1
"GO:0022612","GO:0022612","gland morphogenesis","9/226","110/12463",0.00017167259200592,0.00534172823125788,0.00430655676788257,"19206/18186/20346/16438/18028/104156/94109/19242/12043",9,1
"GO:0048841","GO:0048841","regulation of axon extension involved in axon guidance","5/226","30/12463",0.000184624175619014,0.00561699198276765,0.00452847726265436,"20358/18186/20346/214968/243743",5,1
"GO:1905606","GO:1905606","regulation of presynapse assembly","5/226","30/12463",0.000184624175619014,0.00561699198276765,0.00452847726265436,"223254/18213/192167/23888/331461",5,1
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","13/226","220/12463",0.000188016384999308,0.00561699198276765,0.00452847726265436,"12317/20358/18186/16449/13841/20346/70433/233781/214968/18514/192167/235106/19283",13,1
"GO:0060485","GO:0060485","mesenchyme development","12/226","191/12463",0.00018826945694379,0.00561699198276765,0.00452847726265436,"21844/17260/20358/66214/18186/16449/16842/20346/214968/21676/12043/268902",12,1
"GO:0008037","GO:0008037","cell recognition","8/226","88/12463",0.00019088277867336,0.00561699198276765,0.00452847726265436,"319504/18186/20346/12527/12215/19283/17967/268902",8,1
"GO:0050818","GO:0050818","regulation of coagulation","6/226","47/12463",0.000191920226745444,0.00561699198276765,0.00452847726265436,"12527/18750/19091/268860/208936/19271",6,1
"GO:0050772","GO:0050772","positive regulation of axonogenesis","8/226","89/12463",0.000206511342329809,0.005984779685558,0.00482499152770576,"21844/18186/18213/14268/211323/54712/243743/268902",8,1
"GO:0044057","GO:0044057","regulation of system process","19/226","417/12463",0.000213081082610841,0.00611522019609365,0.00493015402177766,"17260/20346/14681/12293/116838/109676/18750/21676/19091/268860/211323/192167/56543/13048/20541/23945/238161/14167/17967",19,1
"GO:0050775","GO:0050775","positive regulation of dendrite morphogenesis","6/226","48/12463",0.00021605406090071,0.00614092119252402,0.00495087443197578,"21844/13047/19266/545156/331461/13048",6,1
"GO:2001222","GO:2001222","regulation of neuron migration","6/226","49/12463",0.000242516762923069,0.00682742429714851,0.00550434036348701,"20358/20346/211323/12386/19283/67263",6,1
"GO:0008016","GO:0008016","regulation of heart contraction","9/226","116/12463",0.000256642926582102,0.00715694802808203,0.00577000581709911,"20346/14681/12293/109676/18750/19091/56543/20541/238161",9,1
"GO:0090066","GO:0090066","regulation of anatomical structure size","19/226","425/12463",0.000271049465053962,0.00743007920113238,0.00599020700497248,"18519/20358/268970/18186/13841/20346/70433/18213/214968/14268/19091/544963/68732/211323/12386/20541/320827/23945/243743",19,1
"GO:0099172","GO:0099172","presynapse organization","6/226","50/12463",0.000271464328052198,0.00743007920113238,0.00599020700497248,"223254/18213/19266/192167/23888/331461",6,1
"GO:0007611","GO:0007611","learning or memory","13/226","232/12463",0.000315801363731815,0.00855074608578992,0.00689370028424912,"17260/17536/11980/210933/320127/18750/545156/94109/13048/19283/20238/19242/17967",13,1
"GO:0072009","GO:0072009","nephron epithelium development","7/226","72/12463",0.000318194204816269,0.00855074608578992,0.00689370028424912,"17260/19206/16449/70350/18514/12043/269152",7,1
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","12/226","203/12463",0.000330312328274794,0.00873566039710686,0.00704278012216008,"14395/20511/17260/67847/140919/320127/116838/18750/268860/27062/192167/94090",12,1
"GO:0038084","GO:0038084","vascular endothelial growth factor signaling pathway","5/226","34/12463",0.000339851470117486,0.00873566039710686,0.00704278012216008,"20358/18186/14388/330119/21413",5,1
"GO:0048846","GO:0048846","axon extension involved in axon guidance","5/226","34/12463",0.000339851470117486,0.00873566039710686,0.00704278012216008,"20358/18186/20346/214968/243743",5,1
"GO:0099174","GO:0099174","regulation of presynapse organization","5/226","34/12463",0.000339851470117486,0.00873566039710686,0.00704278012216008,"223254/18213/192167/23888/331461",5,1
"GO:1902284","GO:1902284","neuron projection extension involved in neuron projection guidance","5/226","34/12463",0.000339851470117486,0.00873566039710686,0.00704278012216008,"20358/18186/20346/214968/243743",5,1
"GO:0072001","GO:0072001","renal system development","13/226","234/12463",0.000343051884053765,0.00874190835571491,0.00704781729126791,"13047/17260/71371/19206/18186/16449/13841/18027/70350/18514/12043/268902/269152",13,1
"GO:0032535","GO:0032535","regulation of cellular component size","16/226","332/12463",0.000365652534789997,0.00923819566529258,0.00744792927363521,"20358/268970/18186/13841/20346/70433/18213/214968/14268/544963/68732/211323/12386/320827/23945/243743",16,1
"GO:1903034","GO:1903034","regulation of response to wounding","9/226","122/12463",0.0003738879827404,0.00936621082186969,0.00755113642216116,"12527/233781/18213/18750/19091/268860/208936/19242/19271",9,1
"GO:0008361","GO:0008361","regulation of cell size","11/226","177/12463",0.000381811534360828,0.00940529079642172,0.00758264310344661,"20358/18186/13841/20346/70433/18213/214968/14268/211323/23945/243743",11,1
"GO:0045165","GO:0045165","cell fate commitment","11/226","177/12463",0.000381811534360828,0.00940529079642172,0.00758264310344661,"17260/17933/19206/13039/225207/19883/20678/18213/212712/211323/12043",11,1
"GO:0019932","GO:0019932","second-messenger-mediated signaling","14/226","270/12463",0.00041183574618615,0.0100610451712914,0.00811131908973852,"29863/16438/210933/116838/109676/23964/19091/12778/211323/20541/238161/244579/19271/17967",14,1
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","7/226","77/12463",0.000481209038509843,0.0116594583429106,0.00939997638642179,"319504/58998/23965/320873/12215/12564/268902",7,1
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","8/226","101/12463",0.000490797598373667,0.0117951032584761,0.00950933472587062,"14395/17260/320127/116838/268860/192167/13048/20238",8,1
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","13/226","245/12463",0.0005315191579763,0.0126707308949834,0.0102152748188314,"20358/12140/18186/20346/12527/233781/19883/214968/19091/268860/12386/208936/268902",13,1
"GO:0010977","GO:0010977","negative regulation of neuron projection development","10/226","156/12463",0.000549878532981439,0.0129298055289479,0.0104241434789324,"20358/18186/13841/20346/70433/233781/214968/192167/235106/19283",10,1
"GO:0031589","GO:0031589","cell-substrate adhesion","14/226","278/12463",0.00055113514771564,0.0129298055289479,0.0104241434789324,"21844/12317/18186/16403/16449/72007/14268/68732/56363/19283/19242/19271/12043/19272",14,1
